question,answer_llm,answer_orig,document
I just found this course late — can I still sign up and take part?,"Yes — you can still join. If you want to receive a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Am I allowed to join the course after it already started?,"Yes — you can still join after the course has started. If you want a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I start the course now, is there still a chance to get the certificate?","Yes — you can start now, but to get the certificate you need to:

- finish the course with the **live cohort**
- **submit your project while submissions are still open**
- then **peer-review 3 capstone projects**

If the course is still running and submissions are open, there’s still a chance to get the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for a certificate if I joined late?,I don’t know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Is late enrollment okay, or is the project deadline already closed?","Late enrollment is **not** addressed in the context. For the project, what matters is the **submission deadline**: once the project submission form is closed, you **cannot** submit anymore, and there are **no late submissions**.

So if you mean the project deadline: **it is closed after the form closes**. If the form is still open, you can still submit.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I signed up for the LLM Zoomcamp — when should I get the confirmation email?,"You don’t need to wait for a confirmation email. You’re already accepted, and you can start learning and submitting homework while the form is open. Registration is only used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for a registration confirmation before starting the course?,"No, you don’t need to wait for a registration confirmation. You’re accepted, and you can start learning and submitting homework while the form is open even without registering. Registration is just to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I never got an acceptance email, can I still begin watching lessons and submitting homework?",Yes. You don’t need an acceptance email — you’re accepted already. You can start watching the lessons and submitting homework as long as the submission form is open.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there some kind of approved list that checks whether I’m officially registered for the course?,"No. Registration is not checked against an approved list, and you can start learning and submitting homework while the form is open. Registration is only used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is the point of registering for LLM Zoomcamp if I can already start learning without it?,"Registration is mainly to gauge interest before the start date. You don’t need it to start learning, and you can begin the course and submit homework while the form is open without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours or live workshop sessions if the Zoom link isn’t public?,"Students join through **YouTube Live**, not the public Zoom link. The Zoom link is only for instructors/presenters/TAs.

They should:
- watch the session on the **DataTalksClub YouTube channel**
- find the video URL in the **announcements channel on Telegram and Slack** before it starts
- submit questions in **Slido** (the link is pinned in the chat when live)

","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where do I find the live stream link for office hours before the session starts?,The live stream link is usually posted in the **announcements channel on Telegram and Slack before the session begins**. You can also watch it on the **DataTalksClub YouTube channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the workshop live on YouTube, and where is the link usually announced?","Yes — you can watch the workshop live on YouTube. The link is usually announced in the announcements channel on Telegram and Slack before it starts, and it may also be posted on the DataTalksClub YouTube channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How should students submit questions during the live sessions if they’re not using Zoom?,"Students should submit questions to **Slido** during live sessions, not in the chat. The Slido link is **pinned in the chat when the session is live**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Why are we told not to post questions in the chat during office hours or live workshops?,"Don’t post questions in the chat because they may be missed if the room is very active. Instead, submit questions via Slido during live sessions or ask in Slack following the question guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where should I begin if I just joined the LLM Zoomcamp, and what pages do I need to check first?","If you just joined the LLM Zoomcamp, start here:

1. **LLM Zoomcamp docs**: https://datatalks.club/docs/courses/llm-zoomcamp/  
2. **General Zoomcamp logistics docs**: https://datatalks.club/docs/courses/zoomcamp-logistics/  
3. **LLM Zoomcamp GitHub repository**: https://github.com/DataTalksClub/llm-zoomcamp  

Also, use the **course management platform** to track the syllabus, deadlines, homework, and progress:  
https://courses.datatalks.club/llm-zoomcamp-2026/

A typical first workflow is:
- Watch the lesson videos
- Work through the notebooks/code
- Read the homework instructions on GitHub
- Submit answers on the course platform before the deadline

If you want, I can also point you to the exact Module 1 pages to begin with.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I start the course anytime, or is there a fixed start date and schedule I need to follow?","You can start whenever you want — there isn’t a fixed start date you must follow. The videos and GitHub materials are available, and the deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What does a normal weekly routine look like for this course from videos to homework submission?,"A normal weekly routine for the course is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit the homework answers through the course platform before the deadline.

Also, you can start whenever you want, since the videos and GitHub materials are available and the deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"After watching the lesson, what should I do next with the notebooks, GitHub repo, and assignments?","After watching the lesson, do this next:

1. Work through the lesson notebooks/code.
2. Read the homework instructions on GitHub.
3. Submit your answers through the course platform before the deadline.

If you’re using Codespaces, commit your work to the GitHub repo so it’s saved there.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework based on the lesson exactly, or does it change the dataset or task a bit?","The homework usually follows the lesson workflow, but it may use a different dataset or ask you to apply the same idea in a slightly different way.

So: not exactly the same as the lesson.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
