question,document
I just found this course late — can I still sign up and take part?,74eb249bbf
Am I allowed to join the course after it already started?,74eb249bbf
"If I start the course now, is there still a chance to get the certificate?",74eb249bbf
What do I need to do to be eligible for a certificate if I joined late?,74eb249bbf
"Is late enrollment okay, or is the project deadline already closed?",74eb249bbf
I signed up for the LLM Zoomcamp — when should I get the confirmation email?,977bf7786c
Do I actually need to wait for a registration confirmation before starting the course?,977bf7786c
"If I never got an acceptance email, can I still begin watching lessons and submitting homework?",977bf7786c
Is there some kind of approved list that checks whether I’m officially registered for the course?,977bf7786c
What is the point of registering for LLM Zoomcamp if I can already start learning without it?,977bf7786c
How do students join the Office Hours or live workshop sessions if the Zoom link isn’t public?,489dd1c9d9
Where do I find the live stream link for office hours before the session starts?,489dd1c9d9
"Can I watch the workshop live on YouTube, and where is the link usually announced?",489dd1c9d9
How should students submit questions during the live sessions if they’re not using Zoom?,489dd1c9d9
Why are we told not to post questions in the chat during office hours or live workshops?,489dd1c9d9
"Where should I begin if I just joined the LLM Zoomcamp, and what pages do I need to check first?",04919992b3
"Can I start the course anytime, or is there a fixed start date and schedule I need to follow?",04919992b3
What does a normal weekly routine look like for this course from videos to homework submission?,04919992b3
"After watching the lesson, what should I do next with the notebooks, GitHub repo, and assignments?",04919992b3
"Is the homework based on the lesson exactly, or does it change the dataset or task a bit?",04919992b3
I can’t find my name on the leaderboard — how do I locate my own entry?,c2903069a0
"Why does the leaderboard show a weird random name for me, and can I change it?",c2903069a0
Where can I check what my display name is in the course profile?,c2903069a0
What’s the difference between the nickname shown publicly and the official name for the certificate?,c2903069a0
"If I don’t want the default anonymous name on my certificate, what do I need to update?",c2903069a0
"Can I take this course at my own pace and still get a certificate, or is the certificate only for the live cohort?",69d122f12e
"If I complete all the lessons in self-paced mode, will I still be eligible for a course certificate?",69d122f12e
Why don't you give certificates for people who go through the course without joining the live run?,69d122f12e
Do I have to be in the live cohort to do the capstone peer reviews needed for the certificate?,69d122f12e
"Is there any way to earn the certificate after the course ends, or does it only work while the class is running?",69d122f12e
Can I still get the course certificate if I skipped the first homework?,9f689c185f
"Is homework actually required to earn the certificate, or just the capstone?",9f689c185f
What do I need to pass in order to receive the certificate for this course?,9f689c185f
"If homework isn’t mandatory, why should I still do it?",9f689c185f
"Do homework points matter for the certificate, or only for the leaderboard ranking?",9f689c185f
Why does the homework content keep changing before it's released?,96286b4be4
What does [DRAFT] mean in a homework title?,96286b4be4
How can I tell if a homework is actually ready to do?,96286b4be4
Is it safe to start homework early if the page is already there?,96286b4be4
When is a homework considered final and no longer likely to change?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next run of the course starts?,bd31146b0e
Is there a scheduled date for the course to be offered again?,bd31146b0e
When should I expect this course to be available next?,bd31146b0e
What’s the next offering date for this course?,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f
Is there a main place I should check first for the lesson videos?,31456f4b5f
Do the lesson pages include links to the videos somewhere?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to get the latest lectures?,31456f4b5f
How do I locate the videos for each lesson in the course repo?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and deadlines for my cohort?,20c5a1347e
Is there a course platform for tracking homework and my progress in LLM Zoomcamp?,20c5a1347e
How can I follow the current structure of the LLM Zoomcamp course?,20c5a1347e
"Where should I go to see assignments, deadlines, and progress updates for LLM Zoomcamp?",20c5a1347e
What’s the official place to manage LLM Zoomcamp course info during the cohort?,20c5a1347e
"Does the course have live sessions or office hours for every module, or is everything just pre-recorded?",d65e05bd7a
"Where should I ask questions if I get stuck on a module, and is there a preferred way to do that?",d65e05bd7a
"Are live sessions part of the normal course, or do they only happen sometimes when announced?",d65e05bd7a
Is there any extra support with regular Zoom office hours if I want more structure besides the free course?,d65e05bd7a
What’s the difference between the free course materials and the optional paid support community?,d65e05bd7a
Can I count Bluesky posts toward the learning in public credits for this course?,dbf5369006
Are Bluesky updates accepted as learning in public credit entries?,dbf5369006
"If I post about the course on Bluesky, does that qualify for learning in public credits?",dbf5369006
"Do Bluesky posts work for earning learning in public credits, or is another platform required?",dbf5369006
Is it okay to use Bluesky when submitting learning in public credits?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you share the LLM Zoomcamp Telegram link?,054f3fd58f
Is there a Telegram group or channel for course announcements?,054f3fd58f
Where should I go for LLM Zoomcamp announcements vs technical questions?,054f3fd58f
"Do I use Telegram for support, or should I ask in Slack?",054f3fd58f
